marca,modelo,AÑO,PCD,Diametro de rin,ancho de rin
byd,new f3,2006-2012,4X100,15,"6,5-7-7,5-8"
chevrolet,aveo,2003-2012,4x100,15,"6,5-7-7,5-8"
daihatsu,sirion,1998-2008,4x100,15,"6,5-7-7,5-8"
geely,mk taxi,2010-2016,4X100,15,"6,5-7-7,5-8"
honda,fit,2001-2016,4x100,15,"6,5-7-7,5-8"
mini,mini,2001-2016,4X100,15,"6,5-7-7,5-8"
mitsubishi,mirage,1991,4X100,15,"6,5-7-7,5-8"
mitsubishi,mirage,1993-2003,4X100,15,"6,5-7-7,5-8"
nissan,march,1989-2016,4X100,15,"6,5-7-7,5-8"
nissan,note,2005-2016,4x100,15,"6,5-7-7,5-8"
nissan,tiida,2004-2006,4x100,15,"6,5-7-7,5-8"
renault,logan,2004-2016,4x100,15,"6,5-7-7,5-8"
renault,sandero,2007-2016,4x100,15,"6,5-7-7,5-8"
renault,scenic,1998-2008,4x100,15,"6,5-7-7,5-8"
renault,stepway,2008-2016,4x100,15,"6,5-7-7,5-8"
seat,ibiza,1993-2002,4x100,15,"6,5-7-7,5-8"
seat,toledo,1991-1992,4x100,15,"6,5-7-7,5-8"
suzuki,ciaz,2012-2016,4x100,15,"6,5-7-7,5-8"
toyota,corolla,1990-2002,4x100,15,"6,5-7-7,5-8"
volkswagen,passat,1990-1997,4x100,15,"6,5-7-7,5-8"
volkswagen,vento,1984-1998,4x100,15,"6,5-7-7,5-8"
volkswagen,voyage,2010-2016,4x100,15,"6,5-7-7,5-8"
byd,f0,2006-2012,4X100,15,"6,5-7-7,5-8"
chevrolet,corsa,2000-2016,4x100,15,"6,5-7-7,5-8"
chevrolet,spark gt,2013-2016,4x100,15,"6,5-7-7,5-8"
ford,laser,1990-2007,4X100,15,"6,5-7-7,5-8"
geely,ck taxi,2010-2016,4x100,15,"6,5-7-7,5-8"
geely,lc,2010-2016,4X100,15,"6,5-7-7,5-8"
hiunday,accent,2000-2016,4X100,15,"6,5-7-7,5-8"
hiunday,getz,2002-2008,4X100,15,"6,5-7-7,5-8"
hiunday,grand city taxi,2013-2016,4x100,15,"6,5-7-7,5-8"
hiunday,i10,2008-2015,4X100,15,"6,5-7-7,5-8"
hiunday,i10 sedan,2014-2016,4X100,15,"6,5-7-7,5-8"
hiunday,i25 sedan,2014-2016,4X100,15,"6,5-7-7,5-8"
jac,j2,2011-2014,4X100,15,"6,5-7-7,5-8"
jac,j3,2011-2016,4X100,15,"6,5-7-7,5-8"
kia,picanto ion,2004-2016,4X100,15,"6,5-7-7,5-8"
kia,rio,2000-2016,4X100,15,"6,5-7-7,5-8"
mazda,2,2008-2016,4x100,15,"6,5-7-7,5-8"
mazda,allegro,1990-2004,4X100,15,"6,5-7-7,5-8"
mitsubishi,lancer,1991-2006,4X100,15,"6,5-7-7,5-8"
nissan,almera,1994-1999,4x100,15,"6,5-7-7,5-8"
renault,clio,1990-2016,4x100,15,"6,5-7-7,5-8"
renault,express taxi,2012-2016,4x100,15,"6,5-7-7,5-8"
renault,kangoo,1998-2012,4x100,15,"6,5-7-7,5-8"
renault,simbol,1999-2016,4x100,15,"6,5-7-7,5-8"
suzuki,celerio,2015-2016,4x100,15,"6,5-7-7,5-8"
suzuki,dzire,2012-2016,4x100,15,"6,5-7-7,5-8"
suzuki,swift live,2004-2016,4x100,15,"6,5-7-7,5-8"
volkswagen,polo,1990-2000,4x100,15,"6,5-7-7,5-8"
volkswagen,saveiro,2010-2014,4x100,15,"6,5-7-7,5-8"
chevrolet,cobalt,2004-2016,4x100,16,"7-7,5-8"
chevrolet,spark life,2013-2016,4x100,16,"7-7,5-8"
honda,civic,1991-2005,4x100,16,"7-7,5-8"
nissan,sentra,1994-2000,4x100,16,"7-7,5-8"
renault,megane,1996-2008,4x100,16,"7-7,5-8"
volkswagen,jetta,1992-1999,4x100,16,"7-7,5-8"
honda,accord,1982-1990,4x100,16,"7-7,5-8"
volkswagen,gol,1990-2014,4x100,16,"7-7,5-8"
volkswagen,golf,1974-1992,4x100,16,"7-7,5-8"
byd,f3,2006-2012,4X100,16,"7-7,5-8"
byd,new f3,2006-2012,4X100,16,"7-7,5-8"
chevrolet,aveo,2003-2012,4x100,16,"7-7,5-8"
daihatsu,sirion,1998-2008,4x100,16,"7-7,5-8"
geely,mk taxi,2010-2016,4X100,16,"7-7,5-8"
honda,fit,2001-2016,4x100,16,"7-7,5-8"
mini,mini,2001-2016,4X100,16,"7-7,5-8"
mitsubishi,mirage,1991,4X100,16,"7-7,5-8"
mitsubishi,mirage,1993-2003,4X100,16,"7-7,5-8"
nissan,march,1989-2016,4X100,16,"7-7,5-8"
nissan,note,2005-2016,4x100,16,"7-7,5-8"
nissan,tiida,2004-2006,4x100,16,"7-7,5-8"
renault,logan,2004-2016,4x100,16,"7-7,5-8"
renault,sandero,2007-2016,4x100,16,"7-7,5-8"
renault,scenic,1998-2008,4x100,16,"7-7,5-8"
renault,stepway,2008-2016,4x100,16,"7-7,5-8"
seat,ibiza,1993-2002,4x100,16,"7-7,5-8"
seat,toledo,1991-1992,4x100,16,"7-7,5-8"
suzuki,ciaz,2012-2016,4x100,16,"7-7,5-8"
toyota,corolla,1990-2002,4x100,16,"7-7,5-8"
volkswagen,passat,1990-1997,4x100,16,"7-7,5-8"
volkswagen,vento,1984-1998,4x100,16,"7-7,5-8"
volkswagen,voyage,2010-2016,4x100,16,"7-7,5-8"
byd,f0,2006-2012,4X100,16,"7-7,5-8"
chevrolet,corsa,2000-2016,4x100,16,"7-7,5-8"
chevrolet,spark gt,2013-2016,4x100,16,"7-7,5-8"
ford,laser,1990-2007,4X100,16,"7-7,5-8"
geely,ck taxi,2010-2016,4x100,16,"7-7,5-8"
geely,lc,2010-2016,4X100,16,"7-7,5-8"
hiunday,accent,2000-2016,4X100,16,"7-7,5-8"
hiunday,getz,2002-2008,4X100,16,"7-7,5-8"
hiunday,grand city taxi,2013-2016,4x100,16,"7-7,5-8"
hiunday,i10,2008-2015,4X100,16,"7-7,5-8"
hiunday,i10 sedan,2014-2016,4X100,16,"7-7,5-8"
hiunday,i25 sedan,2014-2016,4X100,16,"7-7,5-8"
jac,j2,2011-2014,4X100,16,"7-7,5-8"
jac,j3,2011-2016,4X100,16,"7-7,5-8"
kia,picanto ion,2004-2016,4X100,16,"7-7,5-8"
kia,rio,2000-2016,4X100,16,"7-7,5-8"
mazda,2,2008-2016,4x100,16,"7-7,5-8"
mazda,allegro,1990-2004,4X100,16,"7-7,5-8"
mitsubishi,lancer,1991-2006,4X100,16,"7-7,5-8"
nissan,almera,1994-1999,4x100,16,"7-7,5-8"
renault,clio,1990-2016,4x100,16,"7-7,5-8"
renault,express taxi,2012-2016,4x100,16,"7-7,5-8"
renault,kangoo,1998-2012,4x100,16,"7-7,5-8"
renault,simbol,1999-2016,4x100,16,"7-7,5-8"
suzuki,celerio,2015-2016,4x100,16,"7-7,5-8"
suzuki,dzire,2012-2016,4x100,16,"7-7,5-8"
suzuki,swift live,2004-2016,4x100,16,"7-7,5-8"
volkswagen,polo,1990-2000,4x100,16,"7-7,5-8"
volkswagen,saveiro,2010-2014,4x100,16,"7-7,5-8"
chery,qq 311,2011-2016,"4x114,3",13,"5,5-6-6,5-7-7,5"
chevrolet,sprint,1995-2005,"4x114,3",13,"5,5-6-6,5-7-7,5"
daewoo,matiz,2000-2012,"4X114,3",13,"5,5-6-6,5-7-7,5"
hiunday,atos,1997-2001,"4X114,3",13,"5,5-6-6,5-7-7,5"
hiunday,excel,1985-1998,"4X114,3",13,"5,5-6-6,5-7-7,5"
chery,qq,2011-2016,"4x114,3",14,"5,5-6-6,5"
chery,vancargo,2011-2016,"4x114,3",14,"5,5-6-6,5"
chery,vanpass,2011-2016,"4x114,3",14,"5,5-6-6,5"
chery,y380 cargo,2011-2016,"4x114,3",14,"5,5-6-6,5"
chery,yoya,2011-2016,"4x114,3",14,"5,5-6-6,5"
chevrolet,n300 cargo,2010-2016,"4x114,3",14,"5,5-6-6,5"
chevrolet,n300 pasajeros,2010-2016,"4x114,3",14,"5,5-6-6,5"
chevrolet,sail,2012-2016,"4x114,3",14,"5,5-6-6,5"
daewoo,nubira,1997-2007,"4X114,3",14,"5,5-6-6,5"
daewoo,tacuma,2000-2002,"4X114,3",14,"5,5-6-6,5"
haima,2,2011-2016,"4X114,3",14,"5,5-6-6,5"
hiunday,accent,1994-1999,"4X114,3",14,"5,5-6-6,5"
mazda,626,1987-1997,"4x114,3",14,"5,5-6-6,5"
mitsubishi,lancer,2007,"4X114,3",14,"5,5-6-6,5"
renault,scala,2010-2016,"4x114,3",14,"5,5-6-6,5"
mazda,323,2003-2005,"4x114,3",14,"5,5-6-6,5"
chery,qq 311,2011-2016,"4x114,3",14,"5,5-6-6,5"
chevrolet,sprint,1995-2005,"4x114,3",14,"5,5-6-6,5"
daewoo,matiz,2000-2012,"4X114,3",14,"5,5-6-6,5"
hiunday,atos,1997-2001,"4X114,3",14,"5,5-6-6,5"
hiunday,excel,1985-1998,"4X114,3",14,"5,5-6-6,5"
chery,fulwin,2011-2016,"4x114,3",15,"6,5-7-7,5-8"
chevrolet,optra,2004-2007,"4x114,3",15,"6,5-7-7,5-8"
chevrolet,vivant,1998-2010,"4X114,3",15,"6,5-7-7,5-8"
hiunday,elantra,1990-2005,"4X114,3",15,"6,5-7-7,5-8"
mitsubishi,mirage,1992,"4X114,3",15,"6,5-7-7,5-8"
nissan,tiida,2007-2016,"4X114,3",15,"6,5-7-7,5-8"
nissan,versa,2008-2011,"4x114,3",15,"6,5-7-7,5-8"
nissan,almera,2000-2006,"4X114,3",15,"6,5-7-7,5-8"
nissan,sentra,2001-2012,"4x114,3",15,"6,5-7-7,5-8"
chery,qq,2011-2016,"4x114,3",15,"6,5-7-7,5-8"
chery,vancargo,2011-2016,"4x114,3",15,"6,5-7-7,5-8"
chery,vanpass,2011-2016,"4x114,3",15,"6,5-7-7,5-8"
chery,y380 cargo,2011-2016,"4x114,3",15,"6,5-7-7,5-8"
chery,yoya,2011-2016,"4x114,3",15,"6,5-7-7,5-8"
chevrolet,n300 cargo,2010-2016,"4x114,3",15,"6,5-7-7,5-8"
chevrolet,n300 pasajeros,2010-2016,"4x114,3",15,"6,5-7-7,5-8"
chevrolet,sail,2012-2016,"4x114,3",15,"6,5-7-7,5-8"
daewoo,nubira,1997-2007,"4X114,3",15,"6,5-7-7,5-8"
daewoo,tacuma,2000-2002,"4X114,3",15,"6,5-7-7,5-8"
haima,2,2011-2016,"4X114,3",15,"6,5-7-7,5-8"
hiunday,accent,1994-1999,"4X114,3",15,"6,5-7-7,5-8"
mazda,626,1987-1997,"4x114,3",15,"6,5-7-7,5-8"
mitsubishi,lancer,2007,"4X114,3",15,"6,5-7-7,5-8"
renault,scala,2010-2016,"4x114,3",15,"6,5-7-7,5-8"
mazda,323,2003-2005,"4x114,3",15,"6,5-7-7,5-8"
chery,qq 311,2011-2016,"4x114,3",15,"6,5-7-7,5-8"
chevrolet,sprint,1995-2005,"4x114,3",15,"6,5-7-7,5-8"
daewoo,matiz,2000-2012,"4X114,3",15,"6,5-7-7,5-8"
hiunday,atos,1997-2001,"4X114,3",15,"6,5-7-7,5-8"
hiunday,excel,1985-1998,"4X114,3",15,"6,5-7-7,5-8"
chevrolet,spark,2005-2012,"4x114,3",16,"7-7,5"
volvo,s40,1995-2003,"4X114,3",16,"7-7,5"
kia,cerato,2003-2007,"4x114,3",16,"7-7,5"
chery,fulwin,2011-2016,"4x114,3",16,"7-7,5"
chevrolet,optra,2004-2007,"4x114,3",16,"7-7,5"
chevrolet,vivant,1998-2010,"4X114,3",16,"7-7,5"
hiunday,elantra,1990-2005,"4X114,3",16,"7-7,5"
mitsubishi,mirage,1992,"4X114,3",16,"7-7,5"
nissan,tiida,2007-2016,"4X114,3",16,"7-7,5"
nissan,versa,2008-2011,"4x114,3",16,"7-7,5"
nissan,almera,2000-2006,"4X114,3",16,"7-7,5"
nissan,sentra,2001-2012,"4x114,3",16,"7-7,5"
chery,qq,2011-2016,"4x114,3",16,"7-7,5"
chery,vancargo,2011-2016,"4x114,3",16,"7-7,5"
chery,vanpass,2011-2016,"4x114,3",16,"7-7,5"
chery,y380 cargo,2011-2016,"4x114,3",16,"7-7,5"
chery,yoya,2011-2016,"4x114,3",16,"7-7,5"
chevrolet,n300 cargo,2010-2016,"4x114,3",16,"7-7,5"
chevrolet,n300 pasajeros,2010-2016,"4x114,3",16,"7-7,5"
chevrolet,sail,2012-2016,"4x114,3",16,"7-7,5"
daewoo,nubira,1997-2007,"4X114,3",16,"7-7,5"
daewoo,tacuma,2000-2002,"4X114,3",16,"7-7,5"
haima,2,2011-2016,"4X114,3",16,"7-7,5"
hiunday,accent,1994-1999,"4X114,3",16,"7-7,5"
mazda,626,1987-1997,"4x114,3",16,"7-7,5"
mitsubishi,lancer,2007,"4X114,3",16,"7-7,5"
renault,scala,2010-2016,"4x114,3",16,"7-7,5"
mazda,323,2003-2005,"4x114,3",16,"7-7,5"
chevrolet,epica,2006-2012,"4x114,3",17,"7-7,5-8-8,5"
hiunday,sonata,1985-2004,"4X114,3",17,"7-7,5-8-8,5"
honda,accord,1993-2003,"4x114,3",17,"7-7,5-8-8,5"
kia,carens,1999-2006,"4x114,3",17,"7-7,5-8-8,5"
volvo,v40,1995-2004,"4X114,3",17,"7-7,5-8-8,5"
kia,optima,2000-2005,"4x114,3",17,"7-7,5-8-8,5"
chevrolet,swift,1995-2006,"4x114,3",17,"7-7,5-8-8,5"
suzuki,swift,1994-2003,"4x114,3",17,"7-7,5-8-8,5"
chevrolet,spark,2005-2012,"4x114,3",17,"7-7,5-8-8,5"
volvo,s40,1995-2003,"4X114,3",17,"7-7,5-8-8,5"
kia,cerato,2003-2007,"4x114,3",17,"7-7,5-8-8,5"
chery,fulwin,2011-2016,"4x114,3",17,"7-7,5-8-8,5"
chevrolet,optra,2004-2007,"4x114,3",17,"7-7,5-8-8,5"
chevrolet,vivant,1998-2010,"4X114,3",17,"7-7,5-8-8,5"
hiunday,elantra,1990-2005,"4X114,3",17,"7-7,5-8-8,5"
mitsubishi,mirage,1992,"4X114,3",17,"7-7,5-8-8,5"
nissan,tiida,2007-2016,"4X114,3",17,"7-7,5-8-8,5"
nissan,versa,2008-2011,"4x114,3",17,"7-7,5-8-8,5"
nissan,almera,2000-2006,"4X114,3",17,"7-7,5-8-8,5"
nissan,sentra,2001-2012,"4x114,3",17,"7-7,5-8-8,5"
chana,star cargo,2012-2015,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
chana,star van,2012-2015,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
chevrolet,chevy,2007-2009,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
chevrolet,chevy taxi,2010-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
chevrolet,wagon,1998-2002,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
hafei,minyi,2006-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
hafei,ruiyi,2006-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
hafei,zhongyi,2006-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
haima,1,2011-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
hiunday,super pony taxi,2013-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
chery,qq 311,2011-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
chevrolet,sprint,1995-2005,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
daewoo,matiz,2000-2012,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
hiunday,atos,1997-2001,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
hiunday,excel,1985-1998,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
chevrolet,alto,1988-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
chevrolet,astra,1990-2008,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
daewoo,cielo,1994-2002,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
daewoo,lanos,2005-2009,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
daewoo,racer,1994-1997,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
daewoo,tico,1991-2001,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
hiunday,atos,2001-2008,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
hiunday,eon,2015-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
kia,sephia,1995-1998,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
kia,stylus,2010-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
mazda,demio,1997-2008,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
renault,twingo,1993-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
skoda,felicia,1994-2001,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
suzuki,alto,2002-2016,"4x100-4x114,3",13,"5,5-6-6,5-7-7,5"
chana,benni,2012-2015,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
gonow,cargo,2013-2015,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
gonow,pass,2013-2015,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hafei,luzun,2006-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,city taxi,2013-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,grand pony taxi,2013-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
jac,smile,2012-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
jac,star taxi,2012-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
jac,street taxi,2012-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
jac,veloce,2012-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
lifan,dura truck,2010-2015,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
lifan,livan pasajeros,2010-2015,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chery,qq,2011-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chery,vancargo,2011-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chery,vanpass,2011-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chery,y380 cargo,2011-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chery,yoya,2011-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,n300 cargo,2010-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,n300 pasajeros,2010-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,sail,2012-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
daewoo,nubira,1997-2007,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
daewoo,tacuma,2000-2002,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
haima,2,2011-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,accent,1994-1999,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
mazda,323,2003-2005,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
mazda,626,1987-1997,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
mitsubishi,lancer,2007,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
nissan,almera,2000-2006,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
renault,scala,2010-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
byd,f0,2006-2012,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,corsa,2000-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,spark gt,2013-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
ford,laser,1990-2007,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
geely,ck taxi,2010-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
geely,lc,2010-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,accent,2000-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,getz,2002-2008,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,grand city taxi,2013-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,i10,2008-2015,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,i10 sedan,2014-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,i25 sedan,2014-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
jac,j2,2011-2014,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
jac,j3,2011-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
kia,picanto ion,2004-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
kia,rio,2000-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
mazda,2,2008-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
mazda,323,1990-2002,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
mazda,allegro,1990-2004,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
mitsubishi,lancer,1991-2006,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
renault,clio,1990-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
renault,express taxi,2012-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
renault,kangoo,1998-2012,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
renault,simbol,1999-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
suzuki,celerio,2015-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
suzuki,dzire,2012-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
suzuki,swift live,2004-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
volkswagen,polo,1990-2000,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
volkswagen,saveiro,2010-2014,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chana,star cargo,2012-2015,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chana,star van,2012-2015,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,chevy,2007-2009,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,chevy taxi,2010-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,wagon,1998-2002,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hafei,minyi,2006-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hafei,ruiyi,2006-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hafei,zhongyi,2006-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
haima,1,2011-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,super pony taxi,2013-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chery,qq 311,2011-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,sprint,1995-2005,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
daewoo,matiz,2000-2012,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,atos,1997-2001,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
hiunday,excel,1985-1998,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,alto,1988-2016,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
chevrolet,astra,1990-2008,"4x100-4x114,3",14,"5,5-6-6,5-7-7,5"
